date,ward_name,NDVI,prcp,lst,msdi,GCI,GCI_class
2025-08-01,Burat,0.1886,19.56,30.36,0.0557,38.01,Poor
2025-09-01,Burat,0.1421,17.09,30.18,0.0709,31.13,Poor
2025-10-01,Burat,0.2692,100.27,32.17,0.0656,53.47,Moderate
2025-11-01,Burat,0.3846,124.11,29.77,0.0492,71.07,Good
2025-12-01,Burat,0.3757,86.53,34.33,0.0471,61.0,Good
2026-01-01,Burat,0.2465,13.18,33.79,0.0628,36.69,Poor
2026-02-01,Burat,0.1847,20.94,35.27,0.0701,30.84,Poor
2026-03-01,Burat,0.2625,86.18,35.29,0.0565,50.18,Moderate
2026-04-01,Burat,0.3063,77.07,31.63,0.0468,56.81,Moderate
2026-05-01,Burat,0.3041,70.5,29.46,0.0443,57.84,Moderate
2026-06-01,Burat,0.2108,27.92,29.25,0.0626,40.31,Moderate
2026-07-01,Burat,0.1819,20.96,31.04,0.0659,34.96,Poor
2026-08-01,Burat,0.1506,11.87,31.8,0.0714,29.43,Poor
2019-01-01,Chari,0.2002,13.69,36.43,0.0598,32.08,Poor
2019-02-01,Chari,0.3008,15.59,35.14,0.0601,40.41,Moderate
2019-03-01,Chari,0.4374,55.83,35.06,0.0327,62.83,Good
2019-04-01,Chari,0.5411,90.29,32.5,0.03,75.61,Good
2019-05-01,Chari,0.565,72.53,29.75,0.0225,76.51,Good
2019-06-01,Chari,0.4847,23.03,29.47,0.032,65.29,Good
2019-07-01,Chari,0.429,11.69,29.91,0.042,56.95,Moderate
2019-08-01,Chari,0.4627,32.61,29.49,0.0357,64.52,Good
2019-09-01,Chari,0.4516,30.43,33.5,0.038,59.67,Moderate
2019-10-01,Chari,0.5018,55.11,33.09,0.0343,68.32,Good
2019-11-01,Chari,0.58,115.8,31.17,0.0187,83.44,Very good
2019-12-01,Chari,0.58,73.21,32.61,0.0181,75.31,Good
2020-01-01,Chari,0.488,11.49,36.02,0.0325,58.26,Moderate
2020-02-01,Chari,0.4416,16.64,34.49,0.0412,55.15,Moderate
2020-03-01,Chari,0.5727,97.19,34.43,0.0283,75.59,Good
2020-04-01,Chari,0.58,114.25,32.27,0.01,84.23,Very good
2020-05-01,Chari,0.5734,52.41,30.79,0.0323,70.15,Good
2020-06-01,Chari,0.5076,22.32,29.8,0.0259,67.34,Good
2020-07-01,Chari,0.4807,30.36,30.0,0.0387,64.34,Good
2020-08-01,Chari,0.4502,15.07,29.1,0.0432,59.36,Moderate
2020-09-01,Chari,0.4415,23.86,34.26,0.0221,60.78,Good
2020-10-01,Chari,0.437,19.88,33.66,0.0415,55.97,Moderate
2020-11-01,Chari,0.4521,39.49,33.35,0.0259,64.03,Good
2020-12-01,Chari,0.4263,21.16,32.61,0.0366,57.36,Moderate
2021-01-01,Chari,0.3987,10.87,36.5,0.0423,49.35,Moderate
2021-02-01,Chari,0.4031,12.86,36.71,0.0478,48.59,Moderate
2021-03-01,Chari,0.4254,36.0,35.35,0.0416,56.47,Moderate
2021-04-01,Chari,0.4506,40.86,34.33,0.0231,63.99,Good
2021-05-01,Chari,0.5124,53.33,31.47,0.0279,70.74,Good
2021-06-01,Chari,0.4403,17.38,31.97,0.0322,59.21,Moderate
2021-07-01,Chari,0.4066,8.96,33.19,0.0419,52.32,Moderate
2021-08-01,Chari,0.4056,4.95,33.85,0.0536,48.45,Moderate
2021-09-01,Chari,0.3843,4.54,33.82,0.0468,48.43,Moderate
2021-10-01,Chari,0.4205,34.52,34.76,0.0354,57.75,Moderate
2021-11-01,Chari,0.4974,64.77,31.41,0.0378,70.31,Good
2021-12-01,Chari,0.457,26.72,32.28,0.0395,60.07,Good
2022-01-01,Chari,0.4064,8.54,36.04,0.0336,51.8,Moderate
2022-02-01,Chari,0.4065,14.61,36.4,0.0328,52.71,Moderate
2022-03-01,Chari,0.4678,31.51,34.28,0.0324,61.6,Good
2022-04-01,Chari,0.4881,46.5,33.0,0.0316,66.72,Good
2022-05-01,Chari,0.436,22.4,33.6,0.0313,58.65,Moderate
2022-06-01,Chari,0.4071,16.16,30.93,0.0385,56.12,Moderate
2022-07-01,Chari,0.4251,15.5,28.52,0.0426,58.28,Moderate
2022-08-01,Chari,0.3699,9.4,31.14,0.0431,51.19,Moderate
2022-09-01,Chari,0.3862,8.36,32.59,0.0414,51.39,Moderate
2022-10-01,Chari,0.3989,18.44,34.31,0.0476,51.2,Moderate
2022-11-01,Chari,0.4123,28.33,33.64,0.0453,54.83,Moderate
2022-12-01,Chari,0.4585,39.81,35.18,0.033,61.49,Good
2023-01-01,Chari,0.4126,2.45,36.45,0.0293,51.84,Moderate
2023-02-01,Chari,0.395,6.61,37.77,0.0456,46.63,Moderate
2023-03-01,Chari,0.4386,41.4,32.93,0.041,60.38,Good
2023-04-01,Chari,0.5498,87.05,32.48,0.037,73.53,Good
2023-05-01,Chari,0.58,89.05,30.92,0.017,79.56,Good
2023-06-01,Chari,0.4831,18.39,29.52,0.029,65.05,Good
2023-07-01,Chari,0.4612,23.66,30.58,0.0399,61.11,Good
2023-08-01,Chari,0.4391,14.47,30.68,0.0343,59.21,Moderate
2023-09-01,Chari,0.4566,31.87,32.32,0.0387,61.05,Good
2023-10-01,Chari,0.5799,110.73,31.39,0.0119,83.92,Very good
2023-11-01,Chari,0.58,146.76,30.19,0.025,87.97,Very good
2023-12-01,Chari,0.58,117.03,32.27,0.0248,81.39,Very good
2024-01-01,Chari,0.5452,21.28,34.58,0.0302,62.4,Good
2024-02-01,Chari,0.4853,16.22,33.88,0.0336,60.33,Good
2024-03-01,Chari,0.5701,86.05,33.87,0.0259,74.72,Good
2024-04-01,Chari,0.58,102.18,33.09,0.0135,80.79,Very good
2024-05-01,Chari,0.58,90.34,31.43,0.0249,77.61,Good
2024-06-01,Chari,0.5067,20.58,30.71,0.0299,65.44,Good
2024-07-01,Chari,0.466,20.21,30.62,0.0273,63.65,Good
2024-08-01,Chari,0.4358,19.66,30.98,0.0378,58.81,Moderate
2024-09-01,Chari,0.4408,15.5,31.33,0.0384,58.07,Moderate
2024-10-01,Chari,0.4984,58.31,33.75,0.0316,68.81,Good
2024-11-01,Chari,0.58,120.78,31.34,0.0206,83.7,Very good
2024-12-01,Chari,0.58,94.4,32.99,0.0134,79.59,Good
2025-01-01,Chari,0.5312,20.09,35.58,0.0267,62.18,Good
2025-02-01,Chari,0.4558,21.74,35.36,0.0417,56.2,Moderate
2025-03-01,Chari,0.4672,37.83,31.95,0.0328,64.37,Good
2025-04-01,Chari,0.58,131.87,32.98,0.01,86.6,Very good
2025-05-01,Chari,0.5534,37.55,30.83,0.0174,70.95,Good
2025-06-01,Chari,0.5033,40.88,30.51,0.0436,65.95,Good
2025-07-01,Chari,0.435,5.15,28.42,0.0335,59.34,Moderate
2025-08-01,Chari,0.4201,22.35,31.5,0.0399,57.29,Moderate
2025-09-01,Chari,0.4388,25.79,32.07,0.0423,58.17,Moderate
2025-10-01,Chari,0.4838,48.97,31.15,0.0225,70.33,Good
2025-11-01,Chari,0.5754,88.31,30.44,0.0199,79.16,Good
2025-12-01,Chari,0.5719,70.84,33.94,0.0211,73.2,Good
2026-01-01,Chari,0.4752,14.77,34.93,0.0237,60.74,Good
2026-02-01,Chari,0.4356,11.75,34.98,0.0318,55.62,Moderate
2026-03-01,Chari,0.4862,62.39,33.14,0.0374,67.82,Good
2026-04-01,Chari,0.58,126.09,30.57,0.0205,85.23,Very good
2026-05-01,Chari,0.58,60.68,30.73,0.0165,75.09,Good
2026-06-01,Chari,0.4901,15.2,29.84,0.0308,64.35,Good
2026-07-01,Chari,0.4387,17.75,29.68,0.0352,60.33,Good
2026-08-01,Chari,0.4259,10.54,31.24,0.0476,54.23,Moderate
2019-01-01,Cherab,0.1977,19.0,36.11,0.0639,32.14,Poor
2019-02-01,Cherab,0.2573,25.14,35.58,0.0475,41.4,Moderate
2019-03-01,Cherab,0.3705,88.52,34.33,0.0536,59.55,Moderate
2019-04-01,Cherab,0.5374,102.01,32.1,0.0224,79.57,Good
2019-05-01,Cherab,0.5475,97.54,31.26,0.0209,79.83,Good
2019-06-01,Cherab,0.4524,28.33,32.05,0.0325,61.75,Good
2019-07-01,Cherab,0.4087,18.15,31.63,0.0266,58.63,Moderate
2019-08-01,Cherab,0.3282,17.98,29.7,0.0502,49.27,Moderate
2019-09-01,Cherab,0.3569,34.92,33.95,0.048,51.21,Moderate
2019-10-01,Cherab,0.4013,57.3,31.34,0.0442,60.96,Good
2019-11-01,Cherab,0.5166,119.81,29.26,0.0246,84.32,Very good
2019-12-01,Cherab,0.539,85.15,30.91,0.0269,76.71,Good
2020-01-01,Cherab,0.4113,18.55,34.33,0.0369,54.45,Moderate
2020-02-01,Cherab,0.3332,14.22,35.24,0.0515,44.26,Moderate
2020-03-01,Cherab,0.4127,71.91,34.31,0.0433,62.02,Good
2020-04-01,Cherab,0.5485,119.49,30.72,0.0221,83.64,Very good
2020-05-01,Cherab,0.5215,77.32,31.21,0.0248,75.64,Good
2020-06-01,Cherab,0.3955,10.43,29.15,0.0432,54.72,Moderate
2020-07-01,Cherab,0.3335,5.9,30.82,0.0454,47.8,Moderate
2020-08-01,Cherab,0.3023,19.89,29.83,0.048,48.16,Moderate
2020-09-01,Cherab,0.3482,36.62,32.48,0.0514,51.3,Moderate
2020-10-01,Cherab,0.3452,39.52,33.4,0.0389,53.6,Moderate
2020-11-01,Cherab,0.3587,35.48,30.37,0.0399,56.08,Moderate
2020-12-01,Cherab,0.3664,37.28,32.99,0.0562,51.21,Moderate
2021-01-01,Cherab,0.3373,5.46,33.39,0.0469,45.61,Moderate
2021-02-01,Cherab,0.2923,9.65,36.35,0.0507,39.94,Poor
2021-03-01,Cherab,0.3069,19.34,35.21,0.0584,41.77,Moderate
2021-04-01,Cherab,0.3563,33.78,32.89,0.0455,52.36,Moderate
2021-05-01,Cherab,0.3532,20.18,32.71,0.0506,48.89,Moderate
2021-06-01,Cherab,0.3065,2.67,31.08,0.0559,42.84,Moderate
2021-07-01,Cherab,0.3084,14.14,31.69,0.0467,46.44,Moderate
2021-08-01,Cherab,0.2882,10.59,31.66,0.0457,44.68,Moderate
2021-09-01,Cherab,0.2488,1.74,34.26,0.0635,34.41,Poor
2021-10-01,Cherab,0.2949,22.97,31.97,0.0596,43.87,Moderate
2021-11-01,Cherab,0.3957,66.18,34.03,0.0435,60.06,Good
2021-12-01,Cherab,0.3542,32.73,36.8,0.058,46.15,Moderate
2022-01-01,Cherab,0.3126,11.33,36.98,0.0547,40.27,Moderate
2022-02-01,Cherab,0.2948,4.56,37.73,0.0408,40.37,Moderate
2022-03-01,Cherab,0.3268,40.72,35.88,0.0407,50.13,Moderate
2022-04-01,Cherab,0.3537,35.32,32.64,0.0367,54.6,Moderate
2022-05-01,Cherab,0.3809,46.86,33.94,0.0378,57.14,Moderate
2022-06-01,Cherab,0.35,16.54,28.87,0.0541,50.37,Moderate
2022-07-01,Cherab,0.3009,10.23,34.72,0.0687,37.94,Poor
2022-08-01,Cherab,0.3158,15.01,29.72,0.0506,47.81,Moderate
2022-09-01,Cherab,0.3056,18.52,30.87,0.0498,46.94,Moderate
2022-10-01,Cherab,0.3302,25.88,34.31,0.0564,45.68,Moderate
2022-11-01,Cherab,0.3577,56.5,33.03,0.0379,57.83,Moderate
2022-12-01,Cherab,0.3466,21.48,33.64,0.0354,51.28,Moderate
2023-01-01,Cherab,0.3183,6.07,36.23,0.0435,42.86,Moderate
2023-02-01,Cherab,0.2667,1.58,35.4,0.0574,36.07,Poor
2023-03-01,Cherab,0.3084,30.92,37.33,0.0452,45.05,Moderate
2023-04-01,Cherab,0.3686,57.01,33.59,0.0386,58.07,Moderate
2023-05-01,Cherab,0.3605,30.83,30.72,0.0533,52.17,Moderate
2023-06-01,Cherab,0.3444,19.46,31.53,0.0451,50.34,Moderate
2023-07-01,Cherab,0.3203,15.98,29.28,0.0529,48.12,Moderate
2023-08-01,Cherab,0.3071,16.93,32.0,0.0617,43.22,Moderate
2023-09-01,Cherab,0.3132,21.81,32.08,0.0465,47.79,Moderate
2023-10-01,Cherab,0.4073,65.01,32.02,0.039,63.28,Good
2023-11-01,Cherab,0.5638,199.94,31.46,0.022,88.17,Very good
2023-12-01,Cherab,0.58,135.35,34.58,0.0232,82.97,Very good
2024-01-01,Cherab,0.4679,26.01,35.37,0.0368,58.83,Moderate
2024-02-01,Cherab,0.3804,23.03,34.59,0.0304,54.26,Moderate
2024-03-01,Cherab,0.4388,54.01,33.56,0.0346,63.4,Good
2024-04-01,Cherab,0.5048,120.27,32.81,0.037,78.79,Good
2024-05-01,Cherab,0.5504,92.07,31.26,0.0257,77.86,Good
2024-06-01,Cherab,0.4222,17.37,31.23,0.0437,55.97,Moderate
2024-07-01,Cherab,0.3902,30.69,31.85,0.0368,56.98,Moderate
2024-08-01,Cherab,0.364,23.42,31.53,0.049,51.5,Moderate
2024-09-01,Cherab,0.3409,23.89,31.17,0.0549,48.93,Moderate
2024-10-01,Cherab,0.4411,76.98,31.95,0.0417,67.11,Good
2024-11-01,Cherab,0.4728,86.56,30.67,0.0185,77.1,Good
2024-12-01,Cherab,0.575,119.12,32.18,0.0295,80.77,Very good
2025-01-01,Cherab,0.4019,11.02,35.13,0.0365,51.97,Moderate
2025-02-01,Cherab,0.3352,14.13,35.45,0.0508,44.39,Moderate
2025-03-01,Cherab,0.4299,75.67,33.48,0.0433,64.52,Good
2025-04-01,Cherab,0.5042,95.04,31.27,0.0247,78.55,Good
2025-05-01,Cherab,0.5535,95.86,31.74,0.0166,80.13,Very good
2025-06-01,Cherab,0.3802,9.47,30.66,0.0567,49.28,Moderate
2025-07-01,Cherab,0.3401,16.51,29.2,0.0413,52.24,Moderate
2025-08-01,Cherab,0.3489,25.89,29.13,0.0367,55.51,Moderate
2025-09-01,Cherab,0.3569,27.19,30.78,0.0557,50.73,Moderate
2025-10-01,Cherab,0.4454,70.52,32.16,0.0289,68.99,Good
2025-11-01,Cherab,0.4538,63.59,30.92,0.032,68.73,Good
2025-12-01,Cherab,0.5251,100.32,33.58,0.0282,76.82,Good
2026-01-01,Cherab,0.4408,28.39,33.77,0.0403,57.84,Moderate
2026-02-01,Cherab,0.3848,24.86,34.99,0.0355,53.41,Moderate
2026-03-01,Cherab,0.386,54.74,33.83,0.0423,57.89,Moderate
2026-04-01,Cherab,0.4574,80.9,31.16,0.0326,71.54,Good
